rpm,T/Nm,P/W
0.0,50.0,0.0
181.81818181818184,50.0,951.9977738150889
363.6363636363637,50.0,1903.9955476301777
545.4545454545455,50.0,2855.9933214452667
727.2727272727274,50.0,3807.9910952603555
909.090909090909,50.0,4759.988869075444
1090.909090909091,50.0,5711.986642890533
1272.7272727272727,50.0,6663.984416705623
1454.5454545454547,50.0,7615.982190520711
1636.3636363636365,50.0,8567.9799643358
1818.181818181818,50.0,9519.977738150888
2000.0000000000002,50.0,10471.975511965979
2181.818181818182,50.0,11423.973285781067
2363.636363636364,50.0,12375.971059596155
2545.4545454545455,50.0,13327.968833411245
2727.2727272727275,50.0,14279.966607226334
2909.0909090909095,50.0,15231.964381041422
3090.909090909091,50.0,16183.96215485651
3272.727272727273,50.0,17135.9599286716
3454.545454545454,50.0,18087.95770248669
3636.363636363636,50.0,19039.955476301777
3818.1818181818185,50.0,19991.95325011687
4000.0000000000005,50.0,20943.951023931957
4181.818181818182,50.0,21895.948797747045
4363.636363636364,50.0,22847.946571562134
4545.454545454546,50.0,23799.944345377222
4727.272727272728,50.0,24751.94211919231
4909.09090909091,49.107142857142854,26179.938779914944
5090.909090909091,47.41379310344828,26179.938779914944
5272.727272727274,45.833333333333336,26179.938779914944
5454.545454545455,44.354838709677416,26179.938779914944
5636.363636363636,42.96875,26179.938779914944
5818.181818181819,41.666666666666664,26179.938779914944
6000.0,40.44117647058824,26179.938779914944
6181.818181818182,39.285714285714285,26179.938779914944
6363.636363636364,38.19444444444445,26179.938779914944
6545.454545454546,37.16216216216216,26179.938779914944
6727.272727272727,36.184210526315795,26179.938779914944
6909.090909090908,35.25641025641026,26179.938779914944
7090.909090909091,34.375,26179.938779914944
7272.727272727272,33.536585365853654,26179.938779914944
7454.545454545456,32.738095238095234,26179.938779914944
7636.363636363637,31.97674418604651,26179.938779914944
7818.18181818182,31.25,26179.938779914944
8000.000000000001,30.555555555555554,26179.938779914944
8181.818181818183,29.891304347826086,26179.938779914944
8363.636363636364,29.25531914893617,26179.938779914944
8545.454545454546,28.645833333333332,26179.938779914944
8727.272727272728,28.06122448979592,26179.938779914944
8909.09090909091,27.5,26179.938779914944
9090.909090909092,26.96078431372549,26179.938779914944
9272.727272727272,26.442307692307693,26179.938779914944
9454.545454545456,25.943396226415096,26179.938779914944
9636.363636363636,25.462962962962962,26179.938779914944
9818.18181818182,25.0,26179.938779914944
10000.0,24.553571428571427,26179.938779914944
10181.818181818182,24.122807017543863,26179.938779914944
10363.636363636364,23.70689655172414,26179.938779914944
10545.454545454548,23.305084745762713,26179.938779914944
10727.272727272728,22.916666666666668,26179.938779914944
10909.09090909091,22.54098360655738,26179.938779914944
11090.90909090909,22.177419354838708,26179.938779914944
11272.727272727272,21.825396825396826,26179.938779914944
11454.545454545454,21.484375,26179.938779914944
11636.363636363638,21.153846153846153,26179.938779914944
11818.18181818182,20.833333333333332,26179.938779914944
12000.0,20.52238805970149,26179.938779914944
12181.818181818184,20.22058823529412,26179.938779914944
12363.636363636364,19.92753623188406,26179.938779914944
12545.454545454548,19.642857142857142,26179.938779914944
12727.272727272728,19.366197183098592,26179.938779914944
12909.09090909091,19.097222222222225,26179.938779914944
13090.909090909092,18.835616438356166,26179.938779914944
13272.727272727274,18.58108108108108,26179.938779914944
13454.545454545454,18.333333333333332,26179.938779914944
13636.363636363636,18.092105263157897,26179.938779914944
13818.181818181816,17.857142857142858,26179.938779914944
14000.000000000002,17.62820512820513,26179.938779914944
14181.818181818182,17.40506329113924,26179.938779914944
14363.636363636364,17.1875,26179.938779914944
14545.454545454544,16.97530864197531,26179.938779914944
14727.27272727273,16.768292682926827,26179.938779914944
14909.090909090912,16.566265060240966,26179.938779914944
15090.909090909092,16.369047619047617,26179.938779914944
15272.727272727274,16.176470588235293,26179.938779914944
15454.545454545454,15.988372093023255,26179.938779914944
15636.36363636364,15.804597701149426,26179.938779914944
15818.181818181818,15.625,26179.938779914944
16000.000000000002,15.449438202247192,26179.938779914944
16181.818181818182,15.277777777777777,26179.938779914944
16363.636363636366,15.109890109890111,26179.938779914944
16545.454545454548,14.945652173913043,26179.938779914944
16727.272727272728,14.78494623655914,26179.938779914944
16909.090909090908,14.627659574468085,26179.938779914944
17090.909090909092,14.473684210526317,26179.938779914944
17272.727272727272,14.322916666666666,26179.938779914944
17454.545454545456,14.175257731958762,26179.938779914944
17636.36363636364,14.03061224489796,26179.938779914944
17818.18181818182,13.888888888888888,26179.938779914944
