rpm,T/Nm,P/W
0.0,61.1111111111111,10471.975511965977
1636.3636363636367,30.55555555555555,10471.975511965977
3272.7272727272734,20.370370370370367,10471.975511965977
4909.09090909091,15.277777777777775,10471.975511965977
6545.454545454547,12.22222222222222,10471.975511965977
8181.818181818183,10.185185185185183,10471.975511965977
9818.18181818182,8.73015873015873,10471.975511965977
11454.545454545458,7.6388888888888875,10471.975511965977
13090.909090909094,6.790123456790122,10471.975511965977
14727.27272727273,6.11111111111111,10471.975511965977
16363.636363636366,5.5555555555555545,10471.975511965977
