Time (s),Velocity (m/s),Power (kW),Current (A)
0.0,8.418587701252491,0.0,-101.37876262763776
0.04073037324819099,8.598899956499732,16.05702911834783,99.25292869352543
0.08062555139324978,8.774844347298517,16.05702911834783,97.2628083696984
0.11973619965265309,8.947404065704559,16.05702911834783,95.38699693876194
0.15810712242403208,9.116498858301707,16.05702911834783,93.61773828864574
0.19577986225664276,9.282179526293458,16.05702911834783,91.9467245605011
0.23279176511008412,9.445002018285916,16.05702911834783,90.36165398089715
0.26917715095808475,9.604641345186028,16.05702911834783,88.85974744418701
0.3049677241738673,9.761592882688337,16.05702911834783,87.43101812193
0.3401920246452125,9.915976714771501,16.05702911834783,86.06978704920182
0.3748769149310106,10.067613209701632,16.05702911834783,84.77342011935724
0.40904705968775906,10.217013296302314,16.05702911834783,83.53380576827757
0.4427251419333601,10.363987100098424,16.05702911834783,82.34919592066281
0.4759325273700268,10.508737895630896,16.05702911834783,81.21489114121528
0.5086886933370467,10.651510979179367,16.05702911834783,80.12628498374615
0.5410104417947224,10.79314028881626,16.05702911834783,79.07485508268427
0.5729104520126349,10.935022784232675,16.05702911834783,78.04885468147798
0.6044047804985059,11.07302302495755,16.05702911834783,77.07615186039034
0.6355142653165433,11.207275993200769,16.05702911834783,76.1528496971974
0.6662575776337814,11.33839562781354,16.05702911834783,75.27220183882457
0.6966520537021967,11.466031811124891,16.05702911834783,74.43429586486526
0.7267138196074601,11.590784818711777,16.05702911834783,73.63315060835396
0.7564572981447448,11.712764669552136,16.05702911834783,72.86631536650357
0.7858962639383104,11.83183363281855,16.05702911834783,72.13302947887348
0.8150433588188958,11.94853373780461,16.05702911834783,71.42851356940139
0.8439102494071555,12.062664209806298,16.05702911834783,70.75269520736596
0.8725080294281462,12.174483692512542,16.05702911834783,70.10285000834318
0.9008467475033581,12.284231137394173,16.05702911834783,69.47655043930334
0.9289360971254588,12.391620506439574,16.05702911834783,68.87444654891624
0.9567851542657708,12.49714396966238,16.05702911834783,68.29288406191611
0.9844022124435221,12.600700253482422,16.05702911834783,67.73163292963474
1.0117953091127536,12.702339867033402,16.05702911834783,67.18966845157732
1.0389718430757409,12.802333576266312,16.05702911834783,66.66487786316007
1.0659389068209508,12.900450775621051,16.05702911834783,66.15784355676048
1.0927032579680185,12.997005891198723,16.05702911834783,65.66635511053931
1.1192710880934895,13.092013075473027,16.05702911834783,65.18982216907008
1.1456484527691966,13.185389256727536,16.05702911834783,64.72816142229291
1.1718410199125555,13.277409149135162,16.05702911834783,64.27955895904724
1.1978541503856734,13.36792770345983,16.05702911834783,63.84430131263624
1.2236930340263599,13.457094371228939,16.05702911834783,63.421269159702426
1.2494168378458863,13.487934012193655,16.05702911834783,63.27625887357234
1.2751112334227075,13.487934012193655,16.05702911834783,63.27625887357234
1.3008056289995287,13.487934012193655,16.05702911834783,63.27625887357234
1.3265000245763499,13.487934012193655,16.05702911834783,63.27625887357234
1.352194420153171,13.487934012193655,16.05702911834783,63.27625887357234
1.3778888157299922,13.487934012193655,16.05702911834783,63.27625887357234
1.4035832113068134,13.487934012193655,16.05702911834783,63.27625887357234
1.4292776068836346,13.487934012193655,16.05702911834783,63.27625887357234
1.454972002460456,13.487934012193655,16.05702911834783,63.27625887357234
1.4806663980372772,13.487934012193655,16.05702911834783,63.27625887357234
1.5063607936140986,13.487934012193655,16.05702911834783,63.27625887357234
1.5320551891909198,13.487934012193655,16.05702911834783,63.27625887357234
1.557749584767741,13.487934012193655,16.05702911834783,63.27625887357234
1.5834439803445624,13.487934012193655,16.05702911834783,63.27625887357234
1.6091383759213835,13.487934012193655,16.05702911834783,63.27625887357234
1.6348327714982047,13.487934012193655,16.05702911834783,63.27625887357234
1.6605271670750261,13.487934012193655,16.05702911834783,63.27625887357234
1.6862215626518473,13.487934012193655,16.05702911834783,63.27625887357234
1.7119159582286687,13.487934012193655,16.05702911834783,63.27625887357234
1.73761035380549,13.487934012193655,16.05702911834783,63.27625887357234
1.763304749382311,13.487934012193655,16.05702911834783,63.27625887357234
1.7889991449591325,13.487934012193655,16.05702911834783,63.27625887357234
1.8146935405359537,13.487934012193655,16.05702911834783,63.27625887357234
1.840387936112775,13.487934012193655,16.05702911834783,63.27625887357234
1.8660823316895963,13.487934012193655,16.05702911834783,63.27625887357234
1.8917767272664174,13.487934012193655,16.05702911834783,63.27625887357234
1.9174711228432388,13.487934012193655,16.05702911834783,63.27625887357234
1.94316551842006,13.487934012193655,16.05702911834783,63.27625887357234
1.9688599139968814,13.487934012193655,16.05702911834783,63.27625887357234
1.9945543095737026,13.487934012193655,16.05702911834783,63.27625887357234
2.020248705150524,13.487934012193655,16.05702911834783,63.27625887357234
2.0459431007273454,13.487934012193655,16.05702911834783,63.27625887357234
2.0716374963041666,13.487934012193655,16.05702911834783,63.27625887357234
2.0973318918809882,13.487934012193655,16.05702911834783,63.27625887357234
2.1230262874578094,13.487934012193655,16.05702911834783,63.27625887357234
2.1487206830346306,13.487934012193655,16.05702911834783,63.27625887357234
2.1744150786114522,13.487934012193655,16.05702911834783,63.27625887357234
2.2001094741882734,13.487934012193655,16.05702911834783,63.27625887357234
2.2258038697650946,13.487934012193655,16.05702911834783,63.27625887357234
2.251498265341916,13.487934012193655,16.05702911834783,63.27625887357234
2.2771926609187374,13.487934012193655,16.05702911834783,63.27625887357234
2.302887056495559,13.487934012193655,16.05702911834783,63.27625887357234
2.32858145207238,13.487934012193655,16.05702911834783,63.27625887357234
2.3542758476492014,13.487934012193655,16.05702911834783,63.27625887357234
