rpm,T/Nm,P/W
0.0,65.0,0.0
367.34693877551024,65.0,2500.451295714325
734.6938775510205,65.0,5000.90259142865
1102.0408163265308,65.0,7501.353887142976
1469.387755102041,65.0,10001.8051828573
1836.7346938775513,65.0,12502.256478571628
2204.0816326530617,65.0,15002.707774285953
2571.4285714285716,65.0,17503.159070000278
2938.775510204082,58.98148148148148,20420.352248333656
3306.1224489795923,53.08333333333333,20420.352248333656
3673.4693877551026,48.25757575757576,20420.352248333656
4040.8163265306125,44.23611111111111,20420.352248333656
4408.163265306123,40.83333333333333,20420.352248333656
4775.510204081634,37.916666666666664,20420.352248333656
5142.857142857143,35.388888888888886,20420.352248333656
5510.2040816326535,33.17708333333333,20420.352248333656
5877.551020408164,31.22549019607843,20420.352248333656
6244.897959183674,29.49074074074074,20420.352248333656
6612.2448979591845,27.93859649122807,20420.352248333656
6979.591836734695,26.541666666666664,20420.352248333656
7346.938775510205,25.277777777777775,20420.352248333656
7714.285714285715,24.12878787878788,20420.352248333656
8081.632653061225,23.079710144927535,20420.352248333656
8448.979591836736,22.118055555555554,20420.352248333656
8816.326530612247,21.23333333333333,20420.352248333656
9183.673469387757,20.416666666666664,20420.352248333656
9551.020408163267,19.660493827160494,20420.352248333656
9918.367346938778,18.958333333333332,20420.352248333656
10285.714285714286,18.304597701149426,20420.352248333656
10653.061224489798,17.694444444444443,20420.352248333656
11020.408163265307,17.123655913978492,20420.352248333656
11387.75510204082,16.588541666666664,20420.352248333656
11755.102040816328,16.085858585858585,20420.352248333656
12122.448979591836,15.612745098039214,20420.352248333656
12489.795918367348,15.166666666666666,20420.352248333656
12857.142857142857,14.74537037037037,20420.352248333656
13224.489795918369,14.346846846846846,20420.352248333656
13591.83673469388,13.969298245614034,20420.352248333656
13959.18367346939,13.61111111111111,20420.352248333656
14326.5306122449,13.270833333333332,20420.352248333656
14693.87755102041,12.947154471544716,20420.352248333656
15061.22448979592,12.638888888888888,20420.352248333656
15428.57142857143,12.344961240310077,20420.352248333656
15795.918367346942,12.06439393939394,20420.352248333656
16163.26530612245,11.796296296296296,20420.352248333656
16530.612244897962,11.539855072463768,20420.352248333656
16897.959183673473,11.294326241134751,20420.352248333656
17265.306122448983,11.059027777777777,20420.352248333656
17632.653061224493,10.833333333333332,20420.352248333656
