rpm,T/Nm,P/W
0.0,60.0,0.0
181.81818181818184,60.0,1142.3973285781067
363.6363636363637,60.0,2284.7946571562134
545.4545454545455,60.0,3427.19198573432
727.2727272727274,60.0,4569.589314312427
909.090909090909,60.0,5711.9866428905325
1090.909090909091,60.0,6854.38397146864
1272.7272727272727,60.0,7996.781300046747
1454.5454545454547,60.0,9139.178628624853
1636.3636363636365,60.0,10281.57595720296
1818.181818181818,60.0,11423.973285781065
2000.0000000000002,60.0,12566.370614359173
2181.818181818182,60.0,13708.76794293728
2363.636363636364,60.0,14851.165271515387
2545.4545454545455,60.0,15993.562600093494
2727.2727272727275,60.0,17135.9599286716
2909.0909090909095,60.0,18278.357257249707
3090.909090909091,60.0,19420.754585827814
3272.727272727273,60.0,20563.15191440592
3454.545454545454,60.0,21705.549242984023
3636.363636363636,60.0,22847.94657156213
3818.1818181818185,60.0,23990.34390014024
4000.0000000000005,60.0,25132.741228718347
4181.818181818182,60.0,26275.138557296454
4363.636363636364,60.0,27417.53588587456
4545.454545454546,60.0,28559.933214452667
4727.272727272728,60.0,29702.330543030774
4909.09090909091,58.92857142857142,31415.926535897932
5090.909090909091,56.89655172413793,31415.926535897932
5272.727272727274,55.0,31415.926535897932
5454.545454545455,53.225806451612904,31415.926535897932
5636.363636363636,51.5625,31415.926535897932
5818.181818181819,50.0,31415.926535897932
6000.0,48.529411764705884,31415.926535897932
6181.818181818182,47.142857142857146,31415.926535897932
6363.636363636364,45.833333333333336,31415.926535897932
6545.454545454546,44.5945945945946,31415.926535897932
6727.272727272727,43.421052631578945,31415.926535897932
6909.090909090908,42.30769230769231,31415.926535897932
7090.909090909091,41.25,31415.926535897932
7272.727272727272,40.24390243902439,31415.926535897932
7454.545454545456,39.285714285714285,31415.926535897932
7636.363636363637,38.37209302325581,31415.926535897932
7818.18181818182,37.5,31415.926535897932
8000.000000000001,36.666666666666664,31415.926535897932
8181.818181818183,35.869565217391305,31415.926535897932
8363.636363636364,35.1063829787234,31415.926535897932
8545.454545454546,34.375,31415.926535897932
8727.272727272728,33.6734693877551,31415.926535897932
8909.09090909091,33.0,31415.926535897932
9090.909090909092,32.35294117647059,31415.926535897932
9272.727272727272,31.73076923076923,31415.926535897932
9454.545454545456,31.132075471698112,31415.926535897932
9636.363636363636,30.555555555555554,31415.926535897932
9818.18181818182,30.0,31415.926535897932
10000.0,29.46428571428571,31415.926535897932
10181.818181818182,28.947368421052634,31415.926535897932
10363.636363636364,28.448275862068964,31415.926535897932
10545.454545454548,27.966101694915256,31415.926535897932
10727.272727272728,27.5,31415.926535897932
10909.09090909091,27.049180327868854,31415.926535897932
11090.90909090909,26.612903225806452,31415.926535897932
11272.727272727272,26.190476190476193,31415.926535897932
11454.545454545454,25.78125,31415.926535897932
11636.363636363638,25.384615384615383,31415.926535897932
11818.18181818182,25.0,31415.926535897932
12000.0,24.626865671641788,31415.926535897932
12181.818181818184,24.264705882352942,31415.926535897932
12363.636363636364,23.913043478260867,31415.926535897932
12545.454545454548,23.571428571428573,31415.926535897932
12727.272727272728,23.239436619718308,31415.926535897932
12909.09090909091,22.916666666666668,31415.926535897932
13090.909090909092,22.602739726027394,31415.926535897932
13272.727272727274,22.2972972972973,31415.926535897932
13454.545454545454,22.0,31415.926535897932
13636.363636363636,21.710526315789473,31415.926535897932
13818.181818181816,21.428571428571427,31415.926535897932
14000.000000000002,21.153846153846153,31415.926535897932
14181.818181818182,20.886075949367086,31415.926535897932
14363.636363636364,20.625,31415.926535897932
14545.454545454544,20.37037037037037,31415.926535897932
14727.27272727273,20.121951219512194,31415.926535897932
14909.090909090912,19.879518072289155,31415.926535897932
15090.909090909092,19.642857142857142,31415.926535897932
15272.727272727274,19.41176470588235,31415.926535897932
15454.545454545454,19.186046511627904,31415.926535897932
15636.36363636364,18.96551724137931,31415.926535897932
15818.181818181818,18.75,31415.926535897932
16000.000000000002,18.53932584269663,31415.926535897932
16181.818181818182,18.333333333333332,31415.926535897932
16363.636363636366,18.13186813186813,31415.926535897932
16545.454545454548,17.934782608695652,31415.926535897932
16727.272727272728,17.741935483870968,31415.926535897932
16909.090909090908,17.5531914893617,31415.926535897932
17090.909090909092,17.36842105263158,31415.926535897932
17272.727272727272,17.1875,31415.926535897932
17454.545454545456,17.010309278350515,31415.926535897932
17636.36363636364,16.83673469387755,31415.926535897932
17818.18181818182,16.666666666666664,31415.926535897932
